total_strength,DMN_within,DMN_FPN_between,DMN_MTL_between,FPN_within,FPN_MTL_between,MTL_within,src_subject_id
241.2981831031809,0.024717618157392512,0.019529006868919056,0.012589172466914307,0.034535583852221816,0.00705577634960226,0.02505324646730823,HCD1668164
204.15522163390892,0.032435827026327496,0.024461165528343334,0.008839283239828633,0.045513876758543466,0.006282471729465236,0.022075348614994408,HCD2093245
141.33004743506115,0.021392351085389182,0.011777014785425302,0.007035771845945749,0.018778867266909766,0.003942766158328279,0.012688009164729272,HCD0806751
229.28430048789573,0.023835311778354143,0.021217226943832424,0.010214022243069245,0.04577335753521005,0.009280701702724605,0.024509819356424233,HCD0692964
205.95540496790028,0.023555782573278016,0.01926610144842532,0.012118094567111154,0.03217820819684459,0.006852978758117131,0.01961880810080423,HCD1223833
164.67346412432994,0.01837394014107233,0.012588600695324356,0.005739179703690728,0.018271534889220262,0.0033991117963949754,0.014885080049743728,HCD1202320
248.4647635467083,0.03672358726563627,0.022403987476868475,0.011969149225180964,0.03840522866101082,0.006664667721566845,0.02021057956033226,HCD1934159
181.38505577378646,0.021322615398405697,0.012485897419279017,0.008450122858325951,0.022459647877551767,0.006039902400655893,0.021921493744966526,HCD2155140
177.21171586548158,0.02065651787043377,0.01835051076800671,0.006292650869527671,0.03697700017555538,0.004174780575972369,0.011655807267610297,HCD2353245
230.13795975927866,0.029412254704507822,0.01986446644321101,0.010987162613625003,0.036382085889751274,0.008385913740969794,0.024964600163493327,HCD2339049
218.819457113633,0.0297323116013824,0.023129806564005467,0.011496976057794487,0.03714809648359355,0.008733458919565716,0.021311355577788644,HCD1939068
206.14488315571316,0.025056102665644592,0.01673537183146229,0.010614106443103814,0.031982796332890535,0.005329465869883217,0.017678211251929494,HCD0378150
191.36347189621728,0.021391956884125686,0.014372760185959363,0.011670226792969259,0.03594261990441099,0.005286834071772173,0.015203321030911496,HCD1969986
199.5623274718074,0.020475585053983246,0.01658401289316801,0.0075317448410129415,0.02656582142331565,0.004228193008604224,0.022788366256388595,HCD0183539
247.9949297151431,0.03054771039377418,0.020438052203369365,0.012918277933510554,0.034379028073625216,0.008084079765329922,0.026508271384204942,HCD2982579
207.82863767151485,0.02528531448333224,0.019041069080975543,0.012187638720499926,0.03347890614435526,0.008268246876247547,0.019193037019582887,HCD2112829
171.61315043410377,0.022939972550226534,0.01372079918965966,0.005937387884673513,0.025487785472533754,0.003578501621389014,0.011844672652488676,HCD1749770
166.54323203085534,0.021260115143107758,0.01884284137547276,0.008680578319770774,0.02996708524352518,0.005041511721206242,0.016305649443233025,HCD1071634
286.6416562662905,0.033208292202553946,0.025301225922853554,0.012453471270625655,0.041549384217357106,0.009989146075545815,0.024640085915172406,HCD2051532
224.42609884885843,0.02937964516951222,0.02352293647793668,0.010045370579613069,0.035001876824531826,0.008221145456058105,0.022011356054126748,HCD1175343
245.88451559718143,0.02997392202381102,0.022575720593004153,0.017828686606584185,0.03794568644388052,0.013908368817955171,0.032240278551625035,HCD1013014
214.98009160762567,0.02303158431662058,0.019720040896654415,0.014320497781776515,0.033675096818322,0.0073419166374065654,0.024314336552039233,HCD1663053
233.11017159646215,0.025440439762670016,0.018657947851414995,0.010284664055031187,0.03605604510363014,0.007048469804031662,0.022393250408149393,HCD1093139
204.78127015802278,0.02291717946701914,0.01778423279820983,0.011907594896651892,0.028265988928446884,0.00804570981025731,0.031119103840729148,HCD2679073
256.0264586912218,0.03298894080719685,0.021419359538109195,0.013743989309838087,0.03475242379178404,0.008251447373668931,0.03590279902212592,HCD0957368
212.52710913303036,0.022452045627213067,0.016789357332962794,0.0070367006021514345,0.029945140489148526,0.006193775915155256,0.017590156680558085,HCD0788674
235.49448374006903,0.023751250127258552,0.0192292586025037,0.013382607373412885,0.03816915132025192,0.007552906024045904,0.02290338015737602,HCD0626446
278.30036372854846,0.033869090198397254,0.020957028885798288,0.008174885552360699,0.03578726154925938,0.007382009591427043,0.021445107312700197,HCD0919562
201.26722773442228,0.026102637356840565,0.02158635749575771,0.010119276470447823,0.03309188924996446,0.003872545255901764,0.016506049992133127,HCD1016929
199.46097305613546,0.024026183642150083,0.019939051384672488,0.007525748146755728,0.03661825004409024,0.00480543705503392,0.009989511908058161,HCD2336346
233.6584694690463,0.025659678260780965,0.01888891264209231,0.009154074984387054,0.03814333194634171,0.007251547120807192,0.0213454499394667,HCD0311320
196.641305632119,0.025550863290823844,0.019103639036777018,0.010462438174011407,0.029139026545414063,0.00607469624671765,0.01895877912612399,HCD2860262
239.52120407569612,0.03026073382691612,0.020385572896712743,0.011367456039741063,0.03242568718744688,0.006947468527163426,0.018310888232127138,HCD2203933
