term,vif,is_m3_predictor,onset_hours_r,n
music_onset_age,2.3675351302340206,True,-0.2671077711326325,183
log_cumulative_hours,2.140440865880901,True,-0.2671077711326325,183
age_years,2.7028403444450655,False,-0.2671077711326325,183
sex_code,1.0299026471957766,False,-0.2671077711326325,183
wisc_mr,1.0081620054448486,False,-0.2671077711326325,183
