model,outcome,predictor,beta,se,t,p,n,r2,q_fdr,sig_fdr
M1_onset_only,psm_score,music_onset_age,-0.09190003062192306,0.08848990280459826,-1.038536914486786,0.300420981153013,184,0.1301421532009246,,
M2_hours_only,psm_score,log_cumulative_hours,-0.038823637136332946,0.08012439915317435,-0.4845420065130665,0.6285969568211989,183,0.1270920426679948,,
M4_interaction,psm_score,music_onset_age,-0.2152138445389033,0.117924138181244,-1.825019439261277,0.06969340791606189,183,0.14332245458017356,,
M4_interaction,psm_score,log_cumulative_hours,-0.15957933016727904,0.10390870636346584,-1.535764766516109,0.12639183419783412,183,0.14332245458017356,,
M4_interaction,psm_score,onset_x_hours,0.030072793632138738,0.09132867463893793,0.32928095968795784,0.7423348583179494,183,0.14332245458017356,,
M3_both,psm_score,music_onset_age,-0.20693343243178702,0.11492115364991534,-1.800655717938309,0.07345967924539026,183,0.14279469277869827,0.12881795208710298,False
M3_both,psm_score,log_cumulative_hours,-0.15798292791103433,0.1035337964988014,-1.5259068367386999,0.12881795208710298,183,0.14279469277869827,0.12881795208710298,False
