subject,used,n_pos_edges,mean_w,max_w,note
HCD1668164,True,9493.0,0.027834944701948517,1.0098435878753662,
HCD1565356,False,,,,no_file_or_bad_shape
HCD2093245,True,9794.0,0.022573647449908873,0.8305568099021912,
HCD0806751,True,9793.0,0.015240450524818558,1.0570231676101685,
HCD0692964,True,8877.0,0.028171104240391043,1.0131956338882446,
HCD1223833,True,8510.0,0.026269135609775805,1.089601755142212,
HCD1202320,True,7586.0,0.023357246192358263,1.0493723154067993,
HCD1934159,True,11145.0,0.024433353440075467,1.0342755317687988,
HCD2155140,True,7332.0,0.026783415343200286,0.8738189935684204,
HCD2353245,True,8622.0,0.022108170430698338,1.036712646484375,
HCD2339049,True,8907.0,0.028315788481163267,0.9194329977035522,
HCD1939068,True,9377.0,0.025302162949399326,0.8681471943855286,
HCD0378150,True,8203.0,0.027348228055691245,1.0319746732711792,
HCD1969986,True,8258.0,0.0249247347286447,0.977902352809906,
HCD0183539,True,11048.0,0.019356078595505893,0.8628051280975342,
HCD2982579,True,11088.0,0.024381326942077047,0.9997580051422119,
HCD2112829,True,10843.0,0.020690596429707546,0.8888071179389954,
HCD1749770,True,7852.0,0.023380404014605824,1.0256824493408203,
HCD1071634,True,10691.0,0.016534366063402355,0.869206964969635,
HCD2051532,True,9302.0,0.0343939321089568,1.0418742895126343,
HCD1175343,True,8170.0,0.03000782866000393,0.9051247239112854,
HCD1013014,True,8202.0,0.03295300754081466,1.0368313789367676,
HCD1663053,True,12032.0,0.01925426234797301,0.9756913781166077,
HCD1093139,True,9361.0,0.027215416320245198,0.9777065515518188,
HCD2679073,True,10939.0,0.020092379472599772,0.9248298406600952,
HCD0957368,True,10357.0,0.027135251649648334,0.9451367855072021,
HCD0788674,True,11727.0,0.019481845410087597,1.0368256568908691,
HCD0626446,True,10581.0,0.02419313770245036,1.0048720836639404,
HCD0919562,True,8728.0,0.03541323248468948,1.0738683938980103,
HCD1016929,True,7780.0,0.028186780806028804,0.8950766324996948,
HCD2336346,True,9188.0,0.023626022450600474,0.9068998098373413,
HCD0311320,True,9116.0,0.028332255226491607,1.0173341035842896,
HCD2860262,True,8627.0,0.024809876189988898,0.877415120601654,
HCD2203933,True,10540.0,0.024980388435038307,0.9123594164848328,
HCD2105125,True,7887.0,0.022875417148761918,0.8289849758148193,
HCD0752855,True,11368.0,0.024374333046195545,1.0155702829360962,
HCD2383658,True,7308.0,0.024938860717205982,0.8582162857055664,
HCD1285956,True,10522.0,0.020304348587514003,0.8633741736412048,
HCD0630134,True,8660.0,0.03075883373853787,1.036699891090393,
HCD1493761,True,10195.0,0.02341877516089413,1.0618823766708374,
HCD0042420,True,11483.0,0.0276736526876402,1.1216108798980713,
HCD2035635,True,10220.0,0.02337404313006718,0.83677077293396,
HCD2537457,True,10730.0,0.01834119048268863,0.978222668170929,
HCD0614237,True,10479.0,0.022230940488151694,0.9218658208847046,
HCD0671956,False,,,,no_file_or_bad_shape
HCD1796577,True,9753.0,0.01204523888416115,1.0367392301559448,
HCD2134031,True,11291.0,0.01836493184263092,1.0185219049453735,
HCD0784060,False,,,,no_file_or_bad_shape
HCD2540648,True,8925.0,0.025252444823438795,0.874687135219574,
HCD1022722,True,11158.0,0.02487588829570621,0.946110725402832,
HCD0110411,True,10372.0,0.02687594145642293,1.0257291793823242,
HCD2286155,True,9633.0,0.02141059847994146,0.9445656538009644,
HCD1231832,True,12676.0,0.022879452006309507,0.876842200756073,
HCD2046842,True,10060.0,0.024167397137509143,0.948797345161438,
HCD2594671,True,7842.0,0.02353979975200999,0.8458287715911865,
HCD2810954,True,11554.0,0.019952153731443618,0.8713491559028625,
HCD2302430,True,10002.0,0.02017912202777978,0.9020612239837646,
HCD1933864,True,9679.0,0.017184685840704126,0.8688169717788696,
HCD0295146,True,7338.0,0.027774416348009826,1.0356128215789795,
HCD2685169,True,10287.0,0.026274015479982753,0.8952825665473938,
HCD2062537,True,9968.0,0.01872232024722259,1.0329819917678833,
HCD1221627,False,,,,no_file_or_bad_shape
HCD2785678,True,9256.0,0.02766675208351922,0.92500239610672,
HCD0555146,True,10404.0,0.02534511362671175,0.9637749195098877,
HCD0152932,True,10458.0,0.028862743773775998,1.276070475578308,
HCD0298758,True,9713.0,0.0200398404271335,1.1043297052383423,
HCD1010412,True,10250.0,0.025280165840286705,0.9827179908752441,
HCD0001305,True,9875.0,0.0218718980362553,1.0356096029281616,
HCD2807460,True,10458.0,0.02231987919818036,0.8376732468605042,
HCD0494354,False,,,,no_file_or_bad_shape
HCD1328241,True,10745.0,0.024776039104295797,0.877361536026001,
